is_ood,true_label,k1_pred,k1_confidence,k1_action,k1_correct,k2_pred,k2_confidence,k2_action,k2_correct,k3_pred,k3_confidence,k3_action,k3_correct,true_class_name
False,16,21,0.46372509002685547,Ask for help,False,21,0.3131157159805298,Ask for help,False,28,0.27054694294929504,Ask for help,False,mantel
True,5,7,0.3886758089065552,Ask for help,,15,0.3075222671031952,Ask for help,,29,0.27449190616607666,Ask for help,,bottle
False,17,28,0.8383175730705261,Re-scan,False,28,0.8639898300170898,Re-scan,False,28,0.5759932398796082,Ask for help,False,monitor
False,32,29,0.5146593451499939,Ask for help,False,29,0.3957013785839081,Ask for help,False,29,0.2638471722602844,Ask for help,False,vase
False,0,8,0.6203460693359375,Ask for help,False,8,0.49193882942199707,Ask for help,False,8,0.47243496775627136,Ask for help,False,airplane
False,1,19,0.35387465357780457,Ask for help,False,19,0.17891845107078552,Ask for help,False,29,0.2720510959625244,Ask for help,False,bathtub
False,4,8,0.36395660042762756,Ask for help,False,15,0.22728686034679413,Ask for help,False,15,0.37539318203926086,Ask for help,False,bookshelf
False,18,28,0.5506384372711182,Ask for help,False,28,0.5977094173431396,Ask for help,False,28,0.44961658120155334,Ask for help,False,night_stand
False,21,21,0.9146050810813904,Grasp,True,21,0.8407304286956787,Re-scan,True,21,0.8066408634185791,Re-scan,True,plant
False,23,28,0.31764930486679077,Ask for help,False,6,0.35205796360969543,Ask for help,False,6,0.2837248146533966,Ask for help,False,range_hood
False,14,22,0.448784738779068,Ask for help,False,22,0.22864332795143127,Ask for help,False,22,0.232355535030365,Ask for help,False,guitar
False,13,8,0.27577248215675354,Ask for help,False,8,0.36556804180145264,Ask for help,False,8,0.24865587055683136,Ask for help,False,glass_box
False,1,22,0.28313109278678894,Ask for help,False,29,0.1709507256746292,Ask for help,False,19,0.29267749190330505,Ask for help,False,bathtub
False,23,29,0.6523408889770508,Ask for help,False,6,0.34193187952041626,Ask for help,False,6,0.26728275418281555,Ask for help,False,range_hood
False,6,28,0.7164895534515381,Ask for help,False,28,0.5440092086791992,Ask for help,False,28,0.36436495184898376,Ask for help,False,chair
False,21,21,0.4635204076766968,Ask for help,True,21,0.3052777051925659,Ask for help,True,21,0.3197089731693268,Ask for help,True,plant
False,5,24,0.40478578209877014,Ask for help,False,24,0.48623907566070557,Ask for help,False,24,0.3270312249660492,Ask for help,False,car
False,0,8,0.41902634501457214,Ask for help,False,0,0.42718732357025146,Ask for help,True,0,0.28840795159339905,Ask for help,True,airplane
False,28,28,0.9940516352653503,Grasp,True,28,0.7994803190231323,Re-scan,True,28,0.8627981543540955,Re-scan,True,table
False,27,28,0.9133031368255615,Grasp,False,28,0.4639083445072174,Ask for help,False,28,0.3786299526691437,Ask for help,False,stool
False,6,28,0.8016167283058167,Re-scan,False,28,0.4008086323738098,Ask for help,False,28,0.2673613131046295,Ask for help,False,chair
False,6,21,0.4345935583114624,Ask for help,False,28,0.351909875869751,Ask for help,False,28,0.23460932075977325,Ask for help,False,chair
False,13,27,0.8818589448928833,Grasp,False,27,0.45928922295570374,Ask for help,False,27,0.5632089972496033,Ask for help,False,glass_box
False,20,21,0.327360600233078,Ask for help,False,9,0.17612490057945251,Ask for help,False,21,0.2870200276374817,Ask for help,False,piano
True,5,22,0.4566616714000702,Ask for help,,22,0.24547287821769714,Ask for help,,29,0.22028617560863495,Ask for help,,bottle
False,22,21,0.5748292207717896,Ask for help,False,21,0.4874451756477356,Ask for help,False,21,0.5802941918373108,Ask for help,False,radio
False,28,8,0.5350863337516785,Ask for help,False,8,0.30787259340286255,Ask for help,False,28,0.38648173213005066,Ask for help,True,table
False,25,29,0.632797122001648,Ask for help,False,29,0.31642335653305054,Ask for help,False,2,0.2372933030128479,Ask for help,False,sofa
True,5,6,0.24446001648902893,Ask for help,,22,0.36944931745529175,Ask for help,,15,0.32094791531562805,Ask for help,,bottle
False,28,8,0.24905718863010406,Ask for help,False,8,0.19877853989601135,Ask for help,False,28,0.30182915925979614,Ask for help,True,table
False,33,29,0.35050728917121887,Ask for help,False,21,0.22630535066127777,Ask for help,False,28,0.34351682662963867,Ask for help,False,wardrobe
False,27,21,0.3618408143520355,Ask for help,False,29,0.2388237565755844,Ask for help,False,29,0.19945983588695526,Ask for help,False,stool
False,22,14,0.5015342235565186,Ask for help,False,8,0.3747972249984741,Ask for help,False,8,0.36313462257385254,Ask for help,False,radio
False,24,30,0.26833999156951904,Ask for help,False,28,0.3975619971752167,Ask for help,False,30,0.3038393557071686,Ask for help,False,sink
False,13,28,0.4333582818508148,Ask for help,False,28,0.4429805874824524,Ask for help,False,28,0.5204394459724426,Ask for help,False,glass_box
False,21,28,0.5811733603477478,Ask for help,False,28,0.4654349982738495,Ask for help,False,21,0.525303065776825,Ask for help,True,plant
False,2,29,0.451789915561676,Ask for help,False,28,0.44672051072120667,Ask for help,False,28,0.2979600429534912,Ask for help,False,bed
False,0,8,0.4704959988594055,Ask for help,False,0,0.3441222906112671,Ask for help,True,0,0.44895270466804504,Ask for help,True,airplane
False,29,22,0.3414529263973236,Ask for help,False,29,0.29665523767471313,Ask for help,True,29,0.2901243567466736,Ask for help,True,tent
False,1,0,0.8530933260917664,Re-scan,False,0,0.843172550201416,Re-scan,False,0,0.5652976036071777,Ask for help,False,bathtub
False,29,22,0.5540921092033386,Ask for help,False,22,0.5768795013427734,Ask for help,False,22,0.3928534686565399,Ask for help,False,tent
False,30,8,0.3877275586128235,Ask for help,False,8,0.5779716968536377,Ask for help,False,8,0.38594451546669006,Ask for help,False,toilet
False,25,29,0.5768522620201111,Ask for help,False,28,0.4206524193286896,Ask for help,False,28,0.5287644267082214,Ask for help,False,sofa
False,11,29,0.9173845648765564,Grasp,False,29,0.4821588397026062,Ask for help,False,29,0.5882896780967712,Ask for help,False,dresser
False,23,34,0.41909295320510864,Ask for help,False,8,0.27609679102897644,Ask for help,False,28,0.2795371115207672,Ask for help,False,range_hood
False,14,22,0.46228542923927307,Ask for help,False,22,0.43644556403160095,Ask for help,False,22,0.35137900710105896,Ask for help,False,guitar
False,21,21,0.7521334290504456,Ask for help,True,21,0.43837836384773254,Ask for help,True,21,0.40539899468421936,Ask for help,True,plant
False,32,28,0.7825077176094055,Re-scan,False,28,0.4093150794506073,Ask for help,False,28,0.27290472388267517,Ask for help,False,vase
False,4,27,0.3080078065395355,Ask for help,False,27,0.1911052167415619,Ask for help,False,28,0.1834283471107483,Ask for help,False,bookshelf
False,28,8,0.37959209084510803,Ask for help,False,28,0.38422369956970215,Ask for help,True,28,0.2845405042171478,Ask for help,True,table
False,4,28,0.39677146077156067,Ask for help,False,3,0.3374863266944885,Ask for help,False,3,0.23185986280441284,Ask for help,False,bookshelf
False,27,21,0.5349945425987244,Ask for help,False,21,0.6695859432220459,Ask for help,False,21,0.5517830848693848,Ask for help,False,stool
False,30,26,0.3908487856388092,Ask for help,False,6,0.2965276837348938,Ask for help,False,6,0.2323477417230606,Ask for help,False,toilet
False,28,8,0.43171557784080505,Ask for help,False,8,0.23406757414340973,Ask for help,False,15,0.2248176783323288,Ask for help,False,table
False,16,15,0.6856193542480469,Ask for help,False,15,0.38328641653060913,Ask for help,False,21,0.3829415738582611,Ask for help,False,mantel
False,6,6,0.9784123301506042,Grasp,True,6,0.6595975160598755,Ask for help,True,6,0.6971848011016846,Ask for help,True,chair
True,18,14,0.28146111965179443,Ask for help,,8,0.40507614612579346,Ask for help,,8,0.46533605456352234,Ask for help,,keyboard
False,12,21,0.47991257905960083,Ask for help,False,21,0.5766125321388245,Ask for help,False,21,0.6039571762084961,Ask for help,False,flower_pot
False,16,21,0.31689661741256714,Ask for help,False,21,0.4422338008880615,Ask for help,False,21,0.4222092926502228,Ask for help,False,mantel
False,23,8,0.6930919289588928,Ask for help,False,28,0.4270799458026886,Ask for help,False,28,0.2847536504268646,Ask for help,False,range_hood
False,21,28,0.8962263464927673,Grasp,False,28,0.4481222629547119,Ask for help,False,28,0.2988082468509674,Ask for help,False,plant
False,17,28,0.4704686999320984,Ask for help,False,28,0.3150487542152405,Ask for help,False,14,0.2540917694568634,Ask for help,False,monitor
False,1,8,0.24814634025096893,Ask for help,False,8,0.29984861612319946,Ask for help,False,28,0.3223046362400055,Ask for help,False,bathtub
False,16,28,0.7273427248001099,Ask for help,False,28,0.443982869386673,Ask for help,False,28,0.48050108551979065,Ask for help,False,mantel
False,4,8,0.549869179725647,Ask for help,False,19,0.46750906109809875,Ask for help,False,19,0.31185606122016907,Ask for help,False,bookshelf
True,5,29,0.560351550579071,Ask for help,,7,0.4719492197036743,Ask for help,,7,0.483896404504776,Ask for help,,bottle
False,15,15,0.5216020941734314,Ask for help,True,15,0.35891494154930115,Ask for help,True,15,0.3033468425273895,Ask for help,True,lamp
False,18,28,0.5635608434677124,Ask for help,False,28,0.2818848192691803,Ask for help,False,6,0.41114190220832825,Ask for help,False,night_stand
False,13,28,0.5377089977264404,Ask for help,False,28,0.26885533332824707,Ask for help,False,28,0.17923693358898163,Ask for help,False,glass_box
False,16,8,0.20443888008594513,Ask for help,False,8,0.18729019165039062,Ask for help,False,22,0.18651561439037323,Ask for help,False,mantel
False,21,21,0.4078230559825897,Ask for help,True,8,0.4039570391178131,Ask for help,False,19,0.30893516540527344,Ask for help,False,plant
False,0,8,0.6300774812698364,Ask for help,False,8,0.455623596906662,Ask for help,False,8,0.5511832237243652,Ask for help,False,airplane
False,13,19,0.7355499863624573,Ask for help,False,19,0.7612876892089844,Ask for help,False,19,0.7129130363464355,Ask for help,False,glass_box
False,30,30,0.6251688003540039,Ask for help,True,30,0.32560914754867554,Ask for help,True,30,0.2177489995956421,Ask for help,True,toilet
False,4,8,0.44086435437202454,Ask for help,False,21,0.40472739934921265,Ask for help,False,21,0.41305068135261536,Ask for help,False,bookshelf
False,23,28,0.7728792428970337,Ask for help,False,28,0.42216920852661133,Ask for help,False,15,0.3808532655239105,Ask for help,False,range_hood
False,13,28,0.8492807149887085,Re-scan,False,28,0.4377497732639313,Ask for help,False,28,0.3628070652484894,Ask for help,False,glass_box
False,17,8,0.47833308577537537,Ask for help,False,0,0.2768914997577667,Ask for help,False,0,0.2633165717124939,Ask for help,False,monitor
False,4,8,0.4373489320278168,Ask for help,False,8,0.2767184376716614,Ask for help,False,8,0.22829006612300873,Ask for help,False,bookshelf
False,16,8,0.36296722292900085,Ask for help,False,8,0.401886522769928,Ask for help,False,8,0.2718181610107422,Ask for help,False,mantel
False,4,28,0.29351428151130676,Ask for help,False,27,0.3671962022781372,Ask for help,False,27,0.2658478915691376,Ask for help,False,bookshelf
False,10,21,0.3601650893688202,Ask for help,False,8,0.41901281476020813,Ask for help,False,8,0.39460811018943787,Ask for help,False,door
False,29,10,0.6869388818740845,Ask for help,False,10,0.3465140163898468,Ask for help,False,10,0.23166906833648682,Ask for help,False,tent
False,6,29,0.3559572994709015,Ask for help,False,28,0.3141390085220337,Ask for help,False,28,0.3362385034561157,Ask for help,False,chair
False,24,29,0.9291688203811646,Grasp,False,29,0.47930628061294556,Ask for help,False,29,0.3211677372455597,Ask for help,False,sink
False,28,0,0.22931942343711853,Ask for help,False,28,0.4912337064743042,Ask for help,True,28,0.32748913764953613,Ask for help,True,table
False,11,28,0.505922257900238,Ask for help,False,28,0.6086204648017883,Ask for help,False,29,0.4947082996368408,Ask for help,False,dresser
False,14,8,0.5815059542655945,Ask for help,False,8,0.7388401031494141,Ask for help,False,8,0.4978450536727905,Ask for help,False,guitar
False,17,29,0.7551770806312561,Ask for help,False,29,0.7295398116111755,Ask for help,False,29,0.6898870468139648,Ask for help,False,monitor
False,4,28,0.4364338219165802,Ask for help,False,28,0.21857577562332153,Ask for help,False,8,0.2058364748954773,Ask for help,False,bookshelf
False,20,2,0.39248600602149963,Ask for help,False,2,0.3116964101791382,Ask for help,False,2,0.20797549188137054,Ask for help,False,piano
False,6,6,0.3774271607398987,Ask for help,True,6,0.400271475315094,Ask for help,True,6,0.2669229507446289,Ask for help,True,chair
False,14,8,0.810424268245697,Re-scan,False,8,0.5287593603134155,Ask for help,False,8,0.3955872058868408,Ask for help,False,guitar
False,4,8,0.6529268622398376,Ask for help,False,8,0.7047706842422485,Ask for help,False,8,0.6742312908172607,Ask for help,False,bookshelf
False,31,27,0.4968301057815552,Ask for help,False,27,0.5429528951644897,Ask for help,False,27,0.49229422211647034,Ask for help,False,tv_stand
False,9,8,0.41723716259002686,Ask for help,False,8,0.2215280532836914,Ask for help,False,29,0.2461204081773758,Ask for help,False,desk
False,16,19,0.6787367463111877,Ask for help,False,19,0.3394674062728882,Ask for help,False,19,0.22695624828338623,Ask for help,False,mantel
False,6,6,0.3952953517436981,Ask for help,True,6,0.5288096070289612,Ask for help,True,6,0.409950852394104,Ask for help,True,chair
False,16,28,0.578507125377655,Ask for help,False,28,0.6877014636993408,Ask for help,False,28,0.7507559657096863,Ask for help,False,mantel
False,23,6,0.636805534362793,Ask for help,False,6,0.33868008852005005,Ask for help,False,28,0.24856440722942352,Ask for help,False,range_hood
False,21,21,0.7020817399024963,Ask for help,True,21,0.4897586703300476,Ask for help,True,21,0.32942894101142883,Ask for help,True,plant
False,9,8,0.4636112153530121,Ask for help,False,8,0.24004188179969788,Ask for help,False,9,0.3729386329650879,Ask for help,True,desk
False,0,26,0.30953678488731384,Ask for help,False,14,0.2552502155303955,Ask for help,False,28,0.1979420930147171,Ask for help,False,airplane
False,0,8,0.36636826395988464,Ask for help,False,8,0.44857221841812134,Ask for help,False,8,0.549527645111084,Ask for help,False,airplane
False,21,21,0.7377220392227173,Ask for help,True,21,0.4966113567352295,Ask for help,True,28,0.45111823081970215,Ask for help,False,plant
False,25,8,0.4028054177761078,Ask for help,False,30,0.2559780478477478,Ask for help,False,8,0.2613172233104706,Ask for help,False,sofa
False,34,29,0.7381389737129211,Ask for help,False,29,0.5790362358093262,Ask for help,False,29,0.548145592212677,Ask for help,False,xbox
False,1,2,0.2758403718471527,Ask for help,False,29,0.44891852140426636,Ask for help,False,29,0.40777483582496643,Ask for help,False,bathtub
False,6,6,0.6818429231643677,Ask for help,True,6,0.5833252668380737,Ask for help,True,6,0.3998205363750458,Ask for help,True,chair
False,29,10,0.28607553243637085,Ask for help,False,28,0.23757056891918182,Ask for help,False,28,0.3601527512073517,Ask for help,False,tent
False,6,8,0.43740496039390564,Ask for help,False,8,0.24057477712631226,Ask for help,False,8,0.2885662317276001,Ask for help,False,chair
False,4,28,0.5456472635269165,Ask for help,False,28,0.3412145674228668,Ask for help,False,27,0.38260260224342346,Ask for help,False,bookshelf
False,16,28,0.4212854504585266,Ask for help,False,28,0.32918864488601685,Ask for help,False,28,0.3064495325088501,Ask for help,False,mantel
True,5,7,0.4187217950820923,Ask for help,,7,0.4019308090209961,Ask for help,,7,0.27006715536117554,Ask for help,,bottle
False,13,28,0.4979073703289032,Ask for help,False,28,0.6650967001914978,Ask for help,False,28,0.4436958134174347,Ask for help,False,glass_box
False,28,28,0.9415047764778137,Grasp,True,28,0.4727148413658142,Ask for help,True,8,0.32715630531311035,Ask for help,False,table
False,23,6,0.6627758145332336,Ask for help,False,6,0.3318990468978882,Ask for help,False,6,0.4125387668609619,Ask for help,False,range_hood
False,9,28,0.23258434236049652,Ask for help,False,28,0.4977620840072632,Ask for help,False,28,0.3418450653553009,Ask for help,False,desk
False,30,26,0.7910335659980774,Re-scan,False,26,0.8207499384880066,Re-scan,False,26,0.5487415790557861,Ask for help,False,toilet
False,10,26,0.7190777063369751,Ask for help,False,26,0.36354494094848633,Ask for help,False,26,0.4887022078037262,Ask for help,False,door
False,2,8,0.410934716463089,Ask for help,False,19,0.2937914729118347,Ask for help,False,8,0.20241348445415497,Ask for help,False,bed
False,6,6,0.8002294898033142,Re-scan,True,6,0.5493744611740112,Ask for help,True,6,0.4284569025039673,Ask for help,True,chair
False,25,19,0.37003543972969055,Ask for help,False,19,0.5825285911560059,Ask for help,False,19,0.40490520000457764,Ask for help,False,sofa
False,21,19,0.4277535378932953,Ask for help,False,19,0.21691274642944336,Ask for help,False,28,0.21378390491008759,Ask for help,False,plant
False,0,9,0.2732258141040802,Ask for help,False,8,0.18440282344818115,Ask for help,False,9,0.23480994999408722,Ask for help,False,airplane
False,21,28,0.6828261613845825,Ask for help,False,28,0.6201220750808716,Ask for help,False,28,0.4134197533130646,Ask for help,False,plant
False,28,28,0.7815881371498108,Re-scan,True,28,0.39192405343055725,Ask for help,True,28,0.5892119407653809,Ask for help,True,table
False,27,8,0.27695396542549133,Ask for help,False,15,0.1814567893743515,Ask for help,False,28,0.16457022726535797,Ask for help,False,stool
False,25,19,0.7365190982818604,Ask for help,False,19,0.695070743560791,Ask for help,False,19,0.6419880986213684,Ask for help,False,sofa
False,17,8,0.266237735748291,Ask for help,False,8,0.3880764842033386,Ask for help,False,8,0.2772236764431,Ask for help,False,monitor
False,26,21,0.44800126552581787,Ask for help,False,21,0.3306935727596283,Ask for help,False,21,0.39454641938209534,Ask for help,False,stairs
False,20,6,0.277389258146286,Ask for help,False,21,0.3070349097251892,Ask for help,False,21,0.21127308905124664,Ask for help,False,piano
False,19,21,0.38003289699554443,Ask for help,False,21,0.3422703146934509,Ask for help,False,21,0.31840118765830994,Ask for help,False,person
False,28,28,0.9622485041618347,Grasp,True,28,0.48118898272514343,Ask for help,True,28,0.323093444108963,Ask for help,True,table
False,2,29,0.504196047782898,Ask for help,False,29,0.3454272150993347,Ask for help,False,19,0.2840019166469574,Ask for help,False,bed
False,30,28,0.5021278858184814,Ask for help,False,30,0.35870516300201416,Ask for help,True,30,0.2459821105003357,Ask for help,True,toilet
False,21,21,0.28105098009109497,Ask for help,True,19,0.294786274433136,Ask for help,False,21,0.2840981185436249,Ask for help,True,plant
False,19,22,0.21852581202983856,Ask for help,False,19,0.18423661589622498,Ask for help,True,21,0.17378860712051392,Ask for help,False,person
False,13,29,0.7253560423851013,Ask for help,False,29,0.3661175072193146,Ask for help,False,29,0.24422644078731537,Ask for help,False,glass_box
False,2,29,0.24246565997600555,Ask for help,False,2,0.22166146337985992,Ask for help,True,28,0.2962822914123535,Ask for help,False,bed
True,5,15,0.4487021267414093,Ask for help,,15,0.40382397174835205,Ask for help,,15,0.33706188201904297,Ask for help,,bottle
False,6,28,0.3449569046497345,Ask for help,False,28,0.5899193286895752,Ask for help,False,28,0.5730133652687073,Ask for help,False,chair
False,4,8,0.5106236934661865,Ask for help,False,8,0.4506484270095825,Ask for help,False,8,0.42628106474876404,Ask for help,False,bookshelf
False,19,21,0.5714682936668396,Ask for help,False,21,0.42594486474990845,Ask for help,False,21,0.49433502554893494,Ask for help,False,person
False,13,30,0.7262744903564453,Ask for help,False,28,0.3641352653503418,Ask for help,False,28,0.2471570372581482,Ask for help,False,glass_box
False,21,21,0.2378077208995819,Ask for help,True,15,0.3384447693824768,Ask for help,False,15,0.26242563128471375,Ask for help,False,plant
False,17,19,0.7831345796585083,Re-scan,False,28,0.4418637156486511,Ask for help,False,19,0.3707263767719269,Ask for help,False,monitor
False,9,30,0.4401297867298126,Ask for help,False,22,0.30357787013053894,Ask for help,False,22,0.2089611291885376,Ask for help,False,desk
False,31,27,0.46345582604408264,Ask for help,False,27,0.640953540802002,Ask for help,False,27,0.5324839949607849,Ask for help,False,tv_stand
False,0,8,0.5886138081550598,Ask for help,False,8,0.31936201453208923,Ask for help,False,8,0.21876715123653412,Ask for help,False,airplane
True,20,29,0.4059390425682068,Ask for help,,29,0.20353004336357117,Ask for help,,29,0.2583194971084595,Ask for help,,laptop
False,3,8,0.5180558562278748,Ask for help,False,8,0.2594638466835022,Ask for help,False,8,0.3344166576862335,Ask for help,False,bench
False,13,27,0.7982007265090942,Re-scan,False,27,0.7313638925552368,Ask for help,False,27,0.6981084942817688,Ask for help,False,glass_box
False,12,21,0.44641903042793274,Ask for help,False,19,0.3649243414402008,Ask for help,False,21,0.27634117007255554,Ask for help,False,flower_pot
False,31,10,0.823986828327179,Re-scan,False,10,0.4131543040275574,Ask for help,False,10,0.371243953704834,Ask for help,False,tv_stand
False,30,19,0.5396498441696167,Ask for help,False,19,0.2704366445541382,Ask for help,False,8,0.236047625541687,Ask for help,False,toilet
False,6,28,0.4818049371242523,Ask for help,False,8,0.27231860160827637,Ask for help,False,6,0.24857906997203827,Ask for help,True,chair
False,10,28,0.26719537377357483,Ask for help,False,10,0.3136177062988281,Ask for help,True,21,0.3180447518825531,Ask for help,False,door
False,13,2,0.3717614412307739,Ask for help,False,19,0.320002943277359,Ask for help,False,19,0.21337099373340607,Ask for help,False,glass_box
False,13,28,0.5302116274833679,Ask for help,False,28,0.265656977891922,Ask for help,False,9,0.23385374248027802,Ask for help,False,glass_box
False,17,8,0.33559754490852356,Ask for help,False,29,0.333114355802536,Ask for help,False,8,0.3701417148113251,Ask for help,False,monitor
False,26,21,0.28334280848503113,Ask for help,False,21,0.35090821981430054,Ask for help,False,21,0.354092001914978,Ask for help,False,stairs
False,13,28,0.8992294073104858,Grasp,False,28,0.4497844874858856,Ask for help,False,28,0.5553538203239441,Ask for help,False,glass_box
False,23,29,0.5759451389312744,Ask for help,False,29,0.31269708275794983,Ask for help,False,15,0.38984107971191406,Ask for help,False,range_hood
False,25,2,0.4000170826911926,Ask for help,False,19,0.4632554352283478,Ask for help,False,19,0.30890974402427673,Ask for help,False,sofa
False,17,30,0.3208146393299103,Ask for help,False,6,0.276865690946579,Ask for help,False,28,0.2620069086551666,Ask for help,False,monitor
False,13,28,0.7012007236480713,Ask for help,False,28,0.36464205384254456,Ask for help,False,28,0.31529268622398376,Ask for help,False,glass_box
False,32,21,0.6950085163116455,Ask for help,False,21,0.7483745813369751,Ask for help,False,21,0.5062714219093323,Ask for help,False,vase
False,1,29,0.2556075155735016,Ask for help,False,8,0.3062625825405121,Ask for help,False,28,0.2638274133205414,Ask for help,False,bathtub
False,5,28,0.6851915717124939,Ask for help,False,28,0.415319561958313,Ask for help,False,28,0.3172394335269928,Ask for help,False,car
False,25,2,0.4540390074253082,Ask for help,False,28,0.4919792115688324,Ask for help,False,28,0.3279893100261688,Ask for help,False,sofa
False,7,29,0.4002607464790344,Ask for help,False,29,0.49479132890701294,Ask for help,False,29,0.4279087483882904,Ask for help,False,cone
False,17,28,0.7313660383224487,Ask for help,False,28,0.37450844049453735,Ask for help,False,28,0.5462949275970459,Ask for help,False,monitor
False,32,29,0.4127705693244934,Ask for help,False,29,0.26286134123802185,Ask for help,False,29,0.3149716258049011,Ask for help,False,vase
False,29,19,0.3539733290672302,Ask for help,False,29,0.5011599659919739,Ask for help,True,29,0.45345091819763184,Ask for help,True,tent
False,6,28,0.2932530641555786,Ask for help,False,28,0.3679090142250061,Ask for help,False,8,0.2682838439941406,Ask for help,False,chair
False,24,19,0.5997334718704224,Ask for help,False,19,0.2998770475387573,Ask for help,False,19,0.19994372129440308,Ask for help,False,sink
False,12,21,0.3746042251586914,Ask for help,False,21,0.5515670776367188,Ask for help,False,21,0.4671681225299835,Ask for help,False,flower_pot
False,14,8,0.8679283857345581,Re-scan,False,8,0.8434470891952515,Re-scan,False,8,0.7915406823158264,Re-scan,False,guitar
False,13,21,0.3917970657348633,Ask for help,False,21,0.4591963291168213,Ask for help,False,8,0.42229142785072327,Ask for help,False,glass_box
False,11,28,0.674121618270874,Ask for help,False,28,0.337065726518631,Ask for help,False,28,0.4164629280567169,Ask for help,False,dresser
False,7,7,0.8120889067649841,Re-scan,True,7,0.4192580282688141,Ask for help,True,7,0.2800891399383545,Ask for help,True,cone
False,25,28,0.400506854057312,Ask for help,False,19,0.309874027967453,Ask for help,False,19,0.21120470762252808,Ask for help,False,sofa
False,13,28,0.3516787886619568,Ask for help,False,28,0.5078703165054321,Ask for help,False,28,0.40519484877586365,Ask for help,False,glass_box
False,30,28,0.8684223890304565,Re-scan,False,28,0.4358314275741577,Ask for help,False,28,0.6011045575141907,Ask for help,False,toilet
False,11,15,0.493834525346756,Ask for help,False,28,0.35713544487953186,Ask for help,False,28,0.23810319602489471,Ask for help,False,dresser
False,9,26,0.5153487920761108,Ask for help,False,19,0.2749365270137787,Ask for help,False,8,0.24038656055927277,Ask for help,False,desk
False,23,8,0.36988502740859985,Ask for help,False,26,0.2509819567203522,Ask for help,False,6,0.3150709271430969,Ask for help,False,range_hood
False,5,6,0.6693464517593384,Ask for help,False,6,0.42867380380630493,Ask for help,False,6,0.5577351450920105,Ask for help,False,car
False,17,28,0.5506373643875122,Ask for help,False,19,0.3581881523132324,Ask for help,False,19,0.23902194201946259,Ask for help,False,monitor
False,23,28,0.38321051001548767,Ask for help,False,28,0.449476420879364,Ask for help,False,28,0.40523120760917664,Ask for help,False,range_hood
